Date,Open,High,Low,Close,Adj Close,Volume
2026-03-27,14.79,15.00,14.74,14.76,14.76,"17,884,700"
2026-03-26,14.88,15.05,14.81,14.83,14.83,"13,324,100"
2026-03-25,14.89,15.12,14.79,15.01,15.01,"25,296,600"
2026-03-24,14.66,14.76,14.50,14.70,14.70,"13,573,700"
2026-03-23,14.68,14.83,14.53,14.66,14.66,"23,231,600"
2026-03-20,14.69,14.75,14.33,14.47,14.47,"65,705,300"
2026-03-19,14.52,14.77,14.44,14.77,14.77,"30,848,100"
2026-03-18,14.95,15.06,14.74,14.74,14.74,"20,403,700"
2026-03-17,15.15,15.19,14.95,15.02,15.02,"27,499,600"
2026-03-16,15.20,15.32,15.10,15.10,15.10,"28,906,400"
2026-03-13,14.87,15.23,14.87,15.00,15.00,"25,418,200"
2026-03-12,15.22,15.25,14.87,14.95,14.95,"37,546,800"
2026-03-11,15.31,15.55,15.20,15.43,15.43,"19,594,000"
2026-03-10,15.43,15.72,15.39,15.45,15.45,"20,894,000"
2026-03-09,15.20,15.56,15.13,15.41,15.41,"21,901,300"
2026-03-06,15.30,15.34,14.96,15.23,15.23,"17,914,800"
2026-03-05,15.49,15.56,15.26,15.29,15.29,"26,954,000"
2026-03-04,15.70,15.84,15.40,15.60,15.60,"26,249,500"
2026-03-03,15.35,15.58,15.15,15.57,15.57,"40,085,300"
2026-03-02,15.97,16.20,15.87,15.91,15.91,"18,638,600"
2026-02-27,16.32,16.52,16.25,16.27,16.27,"34,463,800"
2026-02-26,16.42,16.60,16.36,16.41,16.41,"18,040,900"
2026-02-25,16.61,16.64,16.26,16.38,16.38,"29,966,400"
2026-02-24,16.23,16.58,16.23,16.58,16.58,"31,221,100"
2026-02-23,15.93,16.33,15.82,16.19,16.19,"29,917,200"
2026-02-20,16.06,16.10,15.71,16.03,16.03,"33,875,800"
2026-02-19,16.19,16.28,16.05,16.17,16.17,"23,244,500"
2026-02-18,16.31,16.49,16.01,16.13,16.13,"29,705,300"
2026-02-13,16.12,16.41,16.10,16.35,16.35,"23,238,400"
2026-02-12,15.91,16.77,15.90,16.52,16.52,"55,037,900"
2026-02-11,15.77,15.95,15.63,15.77,15.77,"26,720,300"
2026-02-10,15.34,15.79,15.30,15.66,15.66,"35,103,300"
2026-02-09,15.46,15.50,15.16,15.39,15.39,"22,980,900"
2026-02-06,15.52,15.57,15.33,15.42,15.42,"23,511,000"
2026-02-05,15.40,15.52,15.18,15.48,15.48,"26,311,400"
2026-02-04,15.28,15.43,15.21,15.30,15.30,"27,049,700"
2026-02-03,15.14,15.39,15.08,15.38,15.38,"32,249,800"
2026-02-02,14.98,15.18,14.84,15.06,15.06,"19,323,000"
2026-01-30,14.76,14.97,14.75,14.85,14.85,"40,087,800"
2026-01-29,15.01,15.06,14.60,14.76,14.76,"33,726,800"
2026-01-28,15.00,15.12,14.81,14.95,14.95,"23,714,500"
2026-01-27,15.23,15.25,14.87,14.87,14.87,"24,248,800"
2026-01-26,14.97,15.14,14.73,15.05,15.05,"22,156,500"
2026-01-23,14.68,15.11,14.54,14.90,14.90,"53,554,400"
2026-01-22,14.36,14.80,14.32,14.59,14.59,"47,662,500"
2026-01-21,14.25,14.34,14.09,14.31,14.31,"35,138,900"
2026-01-20,14.08,14.21,14.00,14.07,14.07,"20,664,800"
2026-01-19,14.06,14.17,13.98,14.09,14.09,"8,040,400"
2026-01-16,14.10,14.14,14.00,14.10,14.10,"31,536,400"
2026-01-15,14.28,14.28,14.00,14.04,14.04,"21,374,400"
2026-01-14,13.93,14.24,13.93,14.20,14.20,"22,198,700"
2026-01-13,13.86,14.10,13.77,13.91,13.91,"33,777,500"
2026-01-12,13.81,14.04,13.77,13.90,13.90,"14,562,800"
2026-01-09,13.62,13.96,13.61,13.90,13.90,"17,408,500"
2026-01-08,13.68,13.80,13.34,13.64,13.64,"31,130,800"
2026-01-07,13.65,13.72,13.60,13.70,13.70,"28,605,400"
2026-01-06,13.80,13.85,13.63,13.70,13.70,"28,548,900"
2026-01-05,13.63,13.76,13.57,13.71,13.71,"17,543,300"
2026-01-02,13.88,14.02,13.56,13.65,13.65,"24,557,600"
2025-12-30,13.90,14.09,13.86,13.86,13.86,"25,304,800"
2025-12-29,13.68,13.87,13.54,13.87,13.87,"20,303,700"
2025-12-26,13.40,13.82,13.40,13.72,13.72,"29,118,400"
2025-12-23,13.17,13.57,13.14,13.47,13.47,"45,087,200"
2025-12-22,13.28,13.30,13.00,13.12,13.12,"26,993,300"
2025-12-19,13.18,13.32,13.14,13.28,13.28,"30,380,100"
2025-12-18,13.95,14.16,13.92,13.92,12.47,"23,928,400"
2025-12-17,13.99,14.13,13.90,14.02,12.56,"28,631,200"
2025-12-16,14.06,14.28,14.01,14.16,12.68,"43,020,300"
2025-12-15,14.04,14.35,14.03,14.28,12.79,"22,268,400"
2025-12-12,13.84,14.05,13.80,14.04,12.58,"30,262,800"
2025-12-11,13.53,13.84,13.42,13.78,12.34,"22,635,200"
2025-12-10,13.26,13.65,13.14,13.60,12.18,"91,743,100"
2025-12-09,13.51,13.74,13.46,13.64,12.22,"38,541,700"
2025-12-08,13.69,13.76,13.59,13.62,12.20,"19,119,600"
2025-12-05,13.97,14.11,13.59,13.61,12.19,"61,741,400"
2025-12-04,14.18,14.21,13.85,13.95,12.50,"37,988,200"
2025-12-03,14.06,14.15,13.97,14.15,12.68,"15,674,100"
2025-12-02,14.01,14.35,13.85,14.00,12.54,"36,109,000"
2025-12-01,13.84,14.02,13.80,14.01,12.55,"15,984,500"
2025-11-28,13.70,13.96,13.66,13.86,12.42,"23,319,400"
2025-11-27,13.70,13.77,13.65,13.72,12.29,"8,093,600"
2025-11-26,13.80,13.81,13.58,13.67,12.25,"33,961,700"
2025-11-25,13.80,13.92,13.62,13.74,12.31,"20,205,700"
2025-11-24,13.58,13.87,13.56,13.77,12.34,"43,126,600"
2025-11-21,13.54,13.71,13.36,13.62,12.20,"35,463,400"
2025-11-19,13.74,13.86,13.41,13.41,12.01,"101,108,300"
2025-11-18,13.69,13.90,13.67,13.74,12.31,"46,389,400"
2025-11-17,13.64,13.83,13.63,13.76,12.33,"33,654,100"
2025-11-14,13.68,13.84,13.65,13.69,12.26,"15,539,900"
2025-11-13,13.64,13.75,13.51,13.63,12.21,"23,794,500"
2025-11-12,13.59,13.66,13.55,13.62,12.20,"32,756,700"
2025-11-11,13.29,13.65,13.24,13.59,12.17,"36,404,100"
2025-11-10,13.25,13.26,13.09,13.18,11.81,"25,239,700"
2025-11-07,13.08,13.29,13.05,13.12,11.75,"30,240,300"
2025-11-06,13.24,13.24,13.08,13.08,11.72,"15,494,600"
2025-11-05,13.16,13.29,13.11,13.18,11.81,"21,385,300"
2025-11-04,12.89,13.16,12.83,13.16,11.79,"27,058,100"
2025-11-03,12.89,12.94,12.73,12.91,11.57,"28,265,800"
2025-10-31,12.51,12.92,12.51,12.71,11.39,"32,112,500"
2025-10-30,12.50,12.66,12.35,12.59,11.28,"91,617,100"
2025-10-29,12.06,12.14,11.98,12.03,10.78,"38,485,900"
2025-10-28,12.13,12.15,12.00,12.03,10.78,"29,170,400"
2025-10-27,12.22,12.39,12.10,12.15,10.88,"40,310,400"
2025-10-24,12.18,12.26,12.05,12.11,10.85,"21,686,700"
2025-10-23,12.10,12.18,12.03,12.12,10.86,"25,355,600"
2025-10-22,12.25,12.27,12.06,12.07,10.81,"29,517,800"
2025-10-21,12.32,12.35,12.15,12.22,10.95,"26,607,400"
2025-10-20,12.33,12.45,12.29,12.36,11.07,"18,260,900"
2025-10-17,12.13,12.40,12.10,12.37,11.08,"23,480,500"
2025-10-16,11.99,12.24,11.92,12.15,10.88,"26,420,200"
2025-10-15,11.99,12.10,11.91,11.99,10.74,"28,407,100"
2025-10-14,11.80,12.10,11.75,12.05,10.79,"29,046,500"
2025-10-13,11.83,11.93,11.78,11.86,10.62,"11,694,900"
