Date,Open,High,Low,Close,Adj Close,Volume
2026-03-27,22.99,22.99,22.52,22.66,22.66,"16,957,900"
2026-03-26,23.58,23.80,22.92,23.06,23.06,"28,327,000"
2026-03-25,23.81,24.32,23.73,23.86,23.86,"20,200,600"
2026-03-24,23.83,23.96,23.40,23.65,23.65,"14,982,000"
2026-03-23,23.58,24.29,23.58,23.96,23.96,"23,714,600"
2026-03-20,23.43,23.46,23.01,23.27,23.27,"37,796,900"
2026-03-19,23.13,23.73,22.89,23.51,23.51,"29,427,500"
2026-03-18,23.60,23.84,23.41,23.41,23.41,"15,566,500"
2026-03-17,23.90,24.19,23.65,23.67,23.67,"22,315,500"
2026-03-16,24.26,24.34,23.82,23.90,23.90,"30,930,000"
2026-03-13,24.46,24.68,23.69,23.75,23.75,"38,122,400"
2026-03-12,25.16,25.25,24.17,24.23,24.23,"34,978,900"
2026-03-11,24.93,25.67,24.82,25.34,25.34,"16,908,800"
2026-03-10,25.07,25.51,24.65,25.14,25.14,"21,786,700"
2026-03-09,24.52,25.03,24.31,24.70,24.70,"18,981,100"
2026-03-06,24.90,25.16,24.41,24.75,24.75,"20,986,400"
2026-03-05,25.75,25.93,24.97,25.00,25.00,"24,730,900"
2026-03-04,26.01,26.47,25.75,25.94,25.94,"14,597,900"
2026-03-03,26.18,26.29,25.38,25.77,25.77,"62,065,500"
2026-03-02,26.31,26.98,26.10,26.95,26.88,"23,891,500"
2026-02-27,27.09,27.25,26.87,26.95,26.88,"20,417,600"
2026-02-26,27.52,27.73,26.98,27.28,27.21,"24,720,400"
2026-02-25,27.31,27.81,27.28,27.58,27.51,"29,552,800"
2026-02-24,26.77,27.38,26.66,27.12,27.05,"26,761,400"
2026-02-23,26.99,27.33,26.67,26.83,26.54,"72,770,500"
2026-02-20,26.36,27.15,26.16,26.99,26.70,"40,353,900"
2026-02-19,25.73,26.59,25.56,26.46,26.17,"32,852,600"
2026-02-18,25.41,25.82,25.35,25.82,25.54,"38,768,500"
2026-02-13,25.50,25.59,24.53,25.43,25.16,"61,597,600"
2026-02-12,26.08,26.89,24.53,26.03,25.75,"111,154,300"
2026-02-11,25.04,25.22,24.74,24.91,24.64,"28,271,000"
