Date,Open,High,Low,Close,Adj Close,Volume
2026-03-27,"182,733.00","183,351.00","180,976.00","181,557.00","181,557.00","8,073,000"
2026-03-26,"185,424.00","185,424.00","182,570.00","182,733.00","182,733.00","7,806,700"
2026-03-25,"182,529.00","186,401.00","182,524.00","185,424.00","185,424.00","9,074,000"
2026-03-24,"181,932.00","182,649.00","179,915.00","182,509.00","182,509.00","7,563,900"
2026-03-23,"176,221.00","182,973.00","176,221.00","181,932.00","181,932.00","9,874,700"
2026-03-20,"180,262.00","180,305.00","175,039.00","176,219.00","176,219.00","15,348,900"
2026-03-19,"179,624.00","181,251.00","176,296.00","180,271.00","180,271.00","12,560,400"
2026-03-18,"180,409.00","181,551.00","179,576.00","179,640.00","179,640.00","9,750,200"
2026-03-17,"179,882.00","182,800.00","179,850.00","180,410.00","180,410.00","9,332,600"
2026-03-16,"177,656.00","181,255.00","177,656.00","179,875.00","179,875.00","7,370,100"
2026-03-13,"179,285.00","180,996.00","177,322.00","177,653.00","177,653.00","9,525,600"
2026-03-12,"183,969.00","183,992.00","178,495.00","179,285.00","179,285.00","12,075,300"
2026-03-11,"183,446.00","185,714.00","182,021.00","183,969.00","183,969.00","8,956,100"
2026-03-10,"180,921.00","185,324.00","180,693.00","183,447.00","183,447.00","10,083,000"
2026-03-09,"179,367.00","181,952.00","177,637.00","180,915.00","180,915.00","11,419,300"
2026-03-06,"180,463.00","181,091.00","178,557.00","179,365.00","179,365.00","9,918,300"
2026-03-05,"185,365.00","185,366.00","179,895.00","180,464.00","180,464.00","10,596,200"
2026-03-04,"183,110.00","186,306.00","183,110.00","185,366.00","185,366.00","9,113,300"
2026-03-03,"189,284.00","189,602.00","180,518.00","183,105.00","183,105.00","14,367,500"
2026-03-02,"188,786.00","190,110.00","186,638.00","189,307.00","189,307.00","9,090,200"
2026-02-27,"191,005.00","191,005.00","188,478.00","188,787.00","188,787.00","11,002,300"
2026-02-26,"191,248.00","191,978.00","188,977.00","191,005.00","191,005.00","8,797,400"
2026-02-25,"191,491.00","192,624.00","190,419.00","191,248.00","191,248.00","9,134,900"
2026-02-24,"188,855.00","191,781.00","188,855.00","191,490.00","191,490.00","11,037,300"
2026-02-23,"190,532.00","191,003.00","188,526.00","188,854.00","188,854.00","9,901,300"
2026-02-20,"188,531.00","190,727.00","186,700.00","190,534.00","190,534.00","9,988,100"
2026-02-19,"186,020.00","188,687.00","185,928.00","188,534.00","188,534.00","9,228,700"
2026-02-18,"186,464.00","187,657.00","185,001.00","186,016.00","186,016.00","7,790,700"
2026-02-13,"187,766.00","187,766.00","183,662.00","186,464.00","186,464.00","11,594,000"
2026-02-12,"189,694.00","189,990.00","186,959.00","187,766.00","187,766.00","12,361,300"
2026-02-11,"185,936.00","190,561.00","185,936.00","189,699.00","189,699.00","11,642,200"
2026-02-10,"186,241.00","186,959.00","185,083.00","185,929.00","185,929.00","10,298,000"
2026-02-09,"182,950.00","186,460.00","182,950.00","186,241.00","186,241.00","8,921,800"
2026-02-06,"182,128.00","183,262.00","181,391.00","182,950.00","182,950.00","9,896,700"
2026-02-05,"181,709.00","184,017.00","181,569.00","182,127.00","182,127.00","9,832,100"
2026-02-04,"185,671.00","185,671.00","180,269.00","181,708.00","181,708.00","10,728,100"
2026-02-03,"182,816.00","187,334.00","182,816.00","185,674.00","185,674.00","10,758,800"
2026-02-02,"181,369.00","182,890.00","181,348.00","182,793.00","182,793.00","8,740,500"
2026-01-30,"183,133.00","183,620.00","180,089.00","181,364.00","181,364.00","11,105,300"
2026-01-29,"184,692.00","186,450.00","181,567.00","183,134.00","183,134.00","12,945,700"
2026-01-28,"181,921.00","185,065.00","181,921.00","184,691.00","184,691.00","11,856,200"
2026-01-27,"178,853.00","183,360.00","178,853.00","181,919.00","181,919.00","11,340,800"
2026-01-26,"178,859.00","179,543.00","177,694.00","178,721.00","178,721.00","9,569,200"
2026-01-23,"175,590.00","180,532.00","175,590.00","178,859.00","178,859.00","11,778,000"
2026-01-22,"171,817.00","177,742.00","171,817.00","175,589.00","175,589.00","14,023,500"
2026-01-21,"166,278.00","171,969.00","166,278.00","171,817.00","171,817.00","14,067,700"
2026-01-20,"164,846.00","166,468.00","163,575.00","166,277.00","166,277.00","8,369,200"
2026-01-19,"164,800.00","165,155.00","164,265.00","164,849.00","164,849.00","4,804,300"
2026-01-16,"165,557.00","165,872.00","164,100.00","164,800.00","164,800.00","11,489,200"
2026-01-15,"165,180.00","166,070.00","164,833.00","165,568.00","165,568.00","9,406,500"
2026-01-14,"161,974.00","165,147.00","161,974.00","165,146.00","165,146.00","9,928,900"
