Date,Open,High,Low,Close,Adj Close,Volume
2026-03-27,41.81,41.81,41.18,41.45,41.45,"27,910,700"
2026-03-26,42.69,42.84,41.94,41.94,41.94,"18,260,900"
2026-03-25,43.15,43.50,42.85,43.10,43.10,"35,148,900"
2026-03-24,42.50,42.81,41.96,42.54,42.54,"18,609,000"
2026-03-23,42.54,43.14,42.06,42.78,42.78,"27,535,500"
2026-03-20,42.11,42.27,41.20,41.55,41.55,"37,660,900"
2026-03-19,41.70,42.60,41.37,42.58,42.23,"32,908,000"
2026-03-18,42.50,43.04,42.27,42.28,41.93,"23,872,800"
2026-03-17,42.90,43.38,42.27,42.71,42.36,"22,436,600"
2026-03-16,43.25,43.47,42.85,43.00,42.65,"17,777,300"
2026-03-13,42.83,43.35,42.33,42.40,42.05,"24,896,600"
2026-03-12,43.09,43.22,42.30,42.69,42.34,"27,095,200"
2026-03-11,43.27,44.44,43.20,43.89,43.53,"18,482,600"
2026-03-10,43.58,44.20,42.82,43.80,43.44,"50,383,100"
2026-03-09,42.52,43.28,42.35,43.16,42.81,"40,970,400"
2026-03-06,43.46,43.59,42.65,42.93,42.58,"26,063,600"
2026-03-05,44.80,45.00,43.33,43.51,43.15,"37,085,400"
2026-03-04,45.24,45.49,44.52,45.01,44.64,"27,146,100"
2026-03-03,44.22,44.87,43.44,44.38,44.02,"54,352,300"
2026-03-02,45.83,46.33,45.58,45.92,45.54,"47,144,000"
2026-02-27,47.60,47.62,46.28,46.78,46.38,"44,765,800"
2026-02-26,47.79,48.15,47.16,47.67,47.26,"26,516,600"
2026-02-25,48.34,48.50,47.07,47.79,47.38,"28,980,200"
2026-02-24,47.64,48.35,47.25,48.17,47.76,"38,465,900"
2026-02-23,48.80,48.89,47.29,47.45,47.04,"34,148,200"
2026-02-20,48.05,49.29,48.02,49.23,48.81,"31,655,900"
2026-02-19,48.10,49.17,47.93,48.55,48.13,"32,026,400"
2026-02-18,48.07,48.42,47.52,47.99,47.58,"23,368,500"
2026-02-13,48.07,48.07,46.60,47.77,47.36,"32,353,500"
2026-02-12,49.05,49.10,47.87,48.24,47.83,"42,023,800"
2026-02-11,48.80,49.67,48.60,49.37,48.95,"45,819,200"
2026-02-10,48.31,49.19,48.19,48.42,48.00,"43,939,300"
2026-02-09,47.00,48.40,46.74,48.31,47.90,"41,656,900"
2026-02-06,45.59,46.94,45.11,46.75,46.35,"38,175,900"
2026-02-05,45.24,45.88,44.74,45.52,45.13,"36,014,400"
2026-02-04,45.90,45.98,44.05,44.62,44.24,"48,683,500"
2026-02-03,46.30,46.98,45.89,46.14,45.74,"48,570,600"
2026-02-02,45.79,46.10,45.43,45.88,45.49,"28,095,400"
2026-01-30,46.09,46.38,44.98,45.50,45.09,"38,117,000"
2026-01-29,46.68,47.05,45.65,46.15,45.74,"36,252,700"
2026-01-28,45.64,46.42,45.63,46.34,45.92,"36,337,500"
2026-01-27,44.78,46.07,44.69,45.32,44.91,"40,280,000"
2026-01-26,43.51,44.34,43.28,44.15,43.75,"25,371,700"
2026-01-23,43.19,43.91,43.04,43.57,43.18,"41,025,100"
2026-01-22,41.96,43.57,41.90,43.08,42.69,"42,959,700"
2026-01-21,40.27,41.77,40.24,41.67,41.30,"39,510,800"
2026-01-20,39.35,40.09,39.07,39.92,39.56,"20,693,900"
2026-01-19,39.72,39.87,39.53,39.55,39.20,"7,190,900"
2026-01-16,39.97,40.09,39.46,39.61,39.25,"19,742,500"
2026-01-15,39.80,40.22,39.66,39.94,39.58,"19,093,500"
2026-01-14,39.47,39.66,39.22,39.60,39.24,"21,222,100"
2026-01-13,39.47,39.57,39.17,39.17,38.82,"17,397,400"
2026-01-12,39.85,39.91,39.49,39.49,39.14,"10,672,200"
2026-01-09,39.93,40.29,39.77,39.85,39.49,"17,023,600"
2026-01-08,39.35,40.09,39.23,39.93,39.57,"17,209,400"
2026-01-07,39.90,39.98,39.19,39.32,38.97,"20,894,500"
2026-01-06,40.09,40.48,39.96,39.96,39.60,"21,959,800"
2026-01-05,39.24,40.14,39.06,39.72,39.36,"24,438,700"
2026-01-02,39.63,39.77,39.15,39.15,38.80,"18,846,800"
2025-12-30,39.23,39.67,39.15,39.23,38.86,"13,764,900"
2025-12-29,39.18,39.27,38.86,38.98,38.61,"10,657,000"
2025-12-26,39.02,39.22,38.71,39.10,38.73,"12,196,300"
2025-12-23,38.64,39.17,38.58,39.09,38.72,"10,490,138"
2025-12-22,38.32,38.56,38.15,38.46,38.09,"15,858,704"
2025-12-19,38.20,38.83,38.05,38.38,38.02,"35,446,214"
2025-12-18,37.69,38.12,37.69,38.03,37.67,"21,898,830"
2025-12-17,37.96,38.19,37.62,37.83,37.48,"31,625,017"
2025-12-16,38.99,39.04,38.17,38.17,37.81,"20,379,168"
2025-12-15,39.01,39.40,38.74,39.18,38.81,"17,767,809"
2025-12-12,38.54,38.89,38.20,38.60,38.24,"17,595,593"
2025-12-11,38.25,38.60,38.08,38.26,37.90,"21,275,268"
2025-12-10,38.06,38.49,37.76,38.29,37.93,"25,643,189"
2025-12-09,40.17,40.29,39.54,40.17,37.63,"24,725,047"
2025-12-08,40.73,40.85,40.02,40.25,37.72,"40,458,400"
2025-12-05,42.05,42.14,39.95,40.06,37.53,"39,832,160"
2025-12-04,41.13,42.00,41.12,42.00,39.35,"23,199,514"
2025-12-03,41.07,41.22,40.70,40.99,38.41,"23,159,653"
2025-12-02,40.25,40.99,40.23,40.99,38.41,"21,175,667"
2025-12-01,40.50,40.53,39.95,40.10,37.57,"15,912,985"
2025-11-28,40.07,40.69,40.00,40.43,37.86,"45,311,657"
2025-11-27,39.48,39.69,39.40,39.52,37.02,"9,469,408"
2025-11-26,38.93,39.72,38.81,39.66,37.15,"22,251,296"
2025-11-25,38.83,39.05,38.57,38.75,36.29,"30,345,963"
2025-11-24,38.76,39.00,38.56,38.66,36.21,"29,014,997"
2025-11-21,38.69,38.86,38.40,38.81,36.34,"16,502,454"
2025-11-19,38.88,39.03,38.58,38.69,36.24,"25,766,686"
2025-11-18,38.79,39.17,38.74,38.93,36.46,"17,147,337"
2025-11-17,39.42,39.51,39.02,39.13,36.64,"43,985,120"
2025-11-14,39.24,39.50,39.04,39.42,36.92,"17,006,742"
2025-11-13,39.28,39.85,39.01,39.26,36.77,"33,686,974"
2025-11-12,40.02,40.15,38.96,39.11,36.63,"36,789,128"
2025-11-11,39.42,40.17,39.26,40.02,37.48,"37,289,193"
2025-11-10,39.17,39.34,39.05,39.26,36.77,"16,552,409"
2025-11-07,38.96,39.03,38.61,39.00,36.53,"12,706,904"
2025-11-06,38.92,39.60,38.84,38.96,36.49,"23,226,500"
2025-11-05,38.80,38.99,38.16,38.96,36.49,"36,312,135"
2025-11-04,38.88,39.00,38.65,38.80,36.34,"20,386,481"
2025-11-03,38.74,38.96,38.40,38.91,36.44,"17,968,144"
2025-10-31,38.29,38.48,38.17,38.29,35.85,"16,449,821"
2025-10-30,38.13,38.52,37.88,38.15,35.71,"18,657,008"
2025-10-29,37.43,38.36,37.43,38.19,35.76,"27,235,466"
2025-10-28,37.13,37.36,37.08,37.36,34.97,"10,478,499"
2025-10-27,37.20,37.49,37.08,37.23,34.86,"11,194,349"
2025-10-24,37.26,37.40,36.87,36.92,34.57,"10,169,911"
2025-10-23,37.14,37.22,36.78,36.97,34.61,"11,432,588"
2025-10-22,36.83,37.00,36.64,37.00,34.64,"13,890,374"
2025-10-21,37.05,37.12,36.67,36.70,34.36,"14,013,871"
2025-10-20,36.52,37.23,36.49,37.05,34.68,"19,114,019"
2025-10-17,36.07,36.52,35.93,36.40,34.07,"17,469,315"
2025-10-16,36.23,36.70,36.02,36.27,33.96,"15,847,580"
2025-10-15,36.23,36.60,35.98,36.36,34.04,"21,972,166"
2025-10-14,36.11,36.74,36.11,36.36,34.04,"21,154,861"
2025-10-13,36.19,36.44,36.19,36.20,33.89,"8,194,989"
2025-10-10,36.28,36.47,35.95,36.06,33.76,"23,250,808"
2025-10-09,36.33,36.33,35.88,36.10,33.79,"18,067,539"
2025-10-08,36.17,36.36,35.97,36.16,33.85,"15,395,204"
2025-10-07,36.62,36.63,35.89,36.09,33.78,"20,705,472"
2025-10-06,37.09,37.14,36.67,36.67,34.33,"14,832,309"
2025-10-03,36.81,37.10,36.62,37.10,34.73,"17,766,985"
2025-10-02,37.30,37.57,36.79,36.83,34.47,"17,094,601"
2025-10-01,38.12,38.26,37.18,37.23,34.86,"25,519,177"
2025-09-30,38.25,38.35,37.59,37.93,35.49,"33,263,438"
2025-09-29,37.94,38.21,37.73,37.76,35.33,"19,124,422"
2025-09-26,37.42,37.73,37.37,37.54,35.13,"12,786,935"
2025-09-25,37.68,37.88,37.35,37.36,34.96,"15,146,768"
2025-09-24,37.92,38.00,37.58,37.66,35.24,"18,713,452"
2025-09-23,37.35,38.10,37.35,37.91,35.48,"16,930,110"
2025-09-22,37.60,37.73,37.17,37.32,34.92,"18,325,039"
2025-09-19,37.38,37.86,37.33,37.86,35.43,"26,702,853"
2025-09-18,37.32,37.43,37.05,37.37,34.97,"15,433,005"
2025-09-17,36.83,37.69,36.76,37.32,34.92,"25,226,348"
2025-09-16,37.08,37.14,36.57,36.80,34.43,"19,993,536"
2025-09-15,36.42,37.07,36.32,36.89,34.52,"14,196,181"
2025-09-12,36.62,36.66,36.17,36.29,33.96,"22,589,754"
2025-09-11,36.94,37.61,36.84,36.84,34.48,"18,078,972"
2025-09-10,36.76,37.23,36.70,36.78,34.41,"14,517,129"
2025-09-09,37.25,37.25,36.70,36.75,34.39,"19,497,179"
2025-09-08,37.24,37.29,36.67,37.07,34.69,"11,800,195"
2025-09-05,37.20,37.69,36.98,37.24,34.85,"15,664,343"
2025-09-04,36.68,37.23,36.42,36.83,34.47,"15,877,244"
2025-09-03,37.01,37.17,36.53,36.69,34.33,"20,686,108"
2025-09-02,37.04,37.36,36.85,37.01,34.63,"24,358,676"
2025-09-01,37.47,37.93,37.37,37.65,35.23,"14,863,209"
2025-08-29,37.35,37.52,37.20,37.37,34.95,"32,600,942"
2025-08-28,36.74,37.59,36.62,37.23,34.82,"25,167,947"
2025-08-27,35.73,36.50,35.58,36.48,34.12,"12,612,968"
2025-08-26,36.17,36.20,35.49,35.87,33.55,"22,088,247"
2025-08-25,36.39,36.49,36.03,36.12,33.78,"11,064,054"
2025-08-22,35.44,36.33,35.33,36.30,33.95,"32,623,087"
2025-08-21,35.00,35.37,34.94,35.31,33.03,"16,147,619"
2025-08-20,35.21,35.47,35.00,35.27,32.99,"16,894,884"
2025-08-19,35.83,35.84,34.84,35.25,32.97,"40,817,973"
2025-08-18,36.50,36.95,36.42,36.66,33.96,"21,658,634"
2025-08-15,36.40,36.73,36.26,36.40,33.72,"19,527,976"
2025-08-14,36.26,36.89,36.19,36.52,33.83,"26,818,728"
2025-08-13,36.82,37.01,36.55,36.57,33.88,"22,618,491"
2025-08-12,36.37,37.16,36.30,36.92,34.20,"27,812,781"
2025-08-11,35.74,36.28,35.67,36.17,33.51,"22,695,226"
2025-08-08,35.72,36.07,35.68,35.95,33.30,"18,329,262"
2025-08-07,35.18,35.93,35.06,35.71,33.08,"26,887,326"
2025-08-06,35.23,36.07,35.05,35.09,32.50,"41,157,358"
2025-08-05,34.19,34.88,34.04,34.65,32.10,"49,690,805"
2025-08-04,34.41,34.52,34.01,34.27,31.75,"17,430,072"
2025-08-01,34.56,34.72,33.73,33.91,31.41,"16,498,643"
2025-07-31,33.67,34.19,33.63,34.14,31.60,"22,001,830"
2025-07-30,33.50,34.23,33.31,34.05,31.52,"19,531,787"
2025-07-29,33.44,33.84,33.37,33.66,31.16,"16,655,821"
2025-07-28,34.25,34.29,33.16,33.47,30.98,"17,849,385"
2025-07-25,34.01,34.46,34.01,34.18,31.65,"18,518,061"
2025-07-24,34.24,34.24,33.83,34.04,31.51,"11,460,089"
2025-07-23,33.94,34.50,33.84,34.36,31.81,"13,271,962"
2025-07-22,34.47,34.70,33.92,33.98,31.46,"23,330,324"
2025-07-21,34.03,34.54,33.99,34.45,31.89,"12,354,541"
2025-07-18,34.39,34.68,33.97,34.05,31.52,"32,227,155"
2025-07-17,34.18,34.80,34.17,34.68,32.11,"25,587,775"
2025-07-16,34.07,34.27,33.86,34.17,31.63,"27,655,294"
2025-07-15,33.88,34.19,33.68,34.00,31.48,"27,356,285"
2025-07-14,33.91,34.01,33.50,33.88,31.37,"26,665,052"
2025-07-11,34.13,34.17,33.72,33.94,31.42,"43,139,284"
2025-07-10,34.85,34.85,34.21,34.22,31.69,"39,571,879"
2025-07-09,36.00,36.01,35.20,35.31,32.69,"16,093,132"
2025-07-08,36.08,36.23,35.83,36.06,33.38,"21,526,588"
2025-07-07,36.64,36.68,36.07,36.15,33.47,"13,885,121"
2025-07-04,36.60,36.88,36.49,36.63,33.91,"7,528,785"
2025-07-03,35.77,36.70,35.77,36.61,33.90,"13,945,170"
2025-07-02,36.02,36.19,35.49,35.73,33.08,"20,331,479"
2025-07-01,35.85,36.09,35.74,36.02,33.35,"18,712,010"
2025-06-30,35.10,35.88,34.87,35.87,33.20,"30,712,643"
2025-06-27,34.95,35.30,34.89,35.21,32.59,"14,240,265"
2025-06-26,35.56,35.72,35.15,35.25,32.62,"23,717,707"
2025-06-25,36.02,36.06,35.38,35.51,32.87,"20,384,627"
2025-06-24,35.65,36.49,35.51,36.17,33.47,"20,742,037"
2025-06-23,35.57,35.57,35.10,35.50,32.85,"14,711,387"
2025-06-20,35.46,35.60,35.33,35.57,32.92,"21,841,974"
2025-06-18,35.85,36.00,35.64,35.76,33.09,"20,285,232"
2025-06-17,35.91,36.01,35.70,35.97,33.29,"20,133,513"
2025-06-16,35.47,36.14,35.46,35.76,33.09,"17,874,002"
2025-06-13,35.12,35.29,34.86,35.12,32.50,"14,821,597"
2025-06-12,35.04,35.76,35.01,35.54,32.89,"22,525,482"
2025-06-11,34.92,35.52,34.70,35.27,32.64,"16,665,400"
2025-06-10,35.44,35.51,34.92,34.95,32.34,"20,974,508"
2025-06-09,35.41,35.56,34.83,35.33,32.39,"24,664,895"
2025-06-06,35.41,35.68,35.24,35.51,32.56,"18,733,537"
2025-06-05,35.92,35.92,35.32,35.43,32.48,"25,542,146"
2025-06-04,36.09,36.20,35.60,35.86,32.88,"17,784,701"
2025-06-03,35.93,36.07,35.71,35.95,32.96,"24,216,330"
2025-06-02,36.57,36.66,35.95,36.07,33.07,"23,768,074"
2025-05-30,36.53,36.62,36.01,36.34,33.30,"32,129,614"
2025-05-29,36.56,36.85,36.26,36.40,33.36,"18,040,759"
2025-05-28,36.97,37.04,36.60,36.69,33.62,"14,984,646"
2025-05-27,37.18,37.50,36.77,36.99,33.90,"15,157,789"
2025-05-26,36.52,37.14,36.45,36.70,33.63,"6,695,412"
2025-05-23,35.53,36.62,35.30,36.62,33.56,"20,729,677"
2025-05-22,36.54,36.64,36.06,36.18,33.16,"23,576,494"
2025-05-21,37.08,37.09,36.14,36.44,33.39,"20,822,892"
2025-05-20,37.26,37.26,36.76,37.18,34.08,"18,517,546"
2025-05-19,36.72,37.47,36.61,37.23,34.12,"25,052,690"
2025-05-16,36.58,36.89,36.28,36.80,33.72,"30,524,874"
2025-05-15,36.27,36.67,36.14,36.58,33.53,"27,141,221"
2025-05-14,35.86,36.25,35.74,36.10,33.08,"18,405,585"
2025-05-13,35.61,36.03,35.46,35.85,32.86,"25,374,256"
2025-05-12,36.35,36.35,35.19,35.42,32.46,"27,701,747"
2025-05-09,35.34,36.17,34.75,36.15,33.13,"59,744,738"
2025-05-08,34.56,34.95,34.12,34.29,31.43,"34,181,683"
2025-05-07,33.90,34.12,33.72,34.02,31.18,"13,799,837"
